cohort,cohort_years,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,N,00,312300,262900,155000,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1
0,16,S,01,6952,6066,3640,24470,32630,37650,36910,47630,54700,56230,70820,80150,1,1,1,1,1,1
0,16,S,02,2879,1853,989,28230,37160,43430,41430,54130,63950,58250,73590,85230,1,1,1,1,1,1
0,16,S,04,6927,7202,4095,23760,32390,37990,37110,48080,55870,58340,69480,80140,1,1,1,1,1,1
0,16,S,05,2089,2122,1317,19730,24980,28670,27790,36330,42090,38670,49580,58230,1,1,1,1,1,1
0,16,S,06,17540,16880,9978,21840,31070,39140,32300,46890,58750,48330,67480,84340,1,1,1,1,1,1
0,16,S,08,10230,7496,4089,24610,32700,38350,36320,47250,55590,51540,67520,79810,1,1,1,1,1,1
0,16,S,09,1287,1223,693,21930,31430,41350,33360,46400,60240,48880,64340,83360,1,1,1,1,1,1
0,16,S,10,574,504.5,320,22960,28390,31950,33140,43130,47320,48210,57300,67850,1,1,1,1,1,1
0,16,S,11,1806,2435,1618,45840,56870,65810,64410,77040,90200,86210,101600,115500,1,1,1,1,1,1
0,16,S,12,17410,15630,9714,21410,28310,32680,31010,40510,46680,44480,57580,66860,1,1,1,1,1,1
0,16,S,13,19290,15560,9125,24770,31970,35140,35730,44550,48950,50410,61170,66820,1,1,1,1,1,1
0,16,S,15,2093,1528,815.5,24850,34230,39700,39480,53050,59830,63480,75690,84480,1,1,1,1,1,1
0,16,S,16,1316,1132,682,20060,24890,29020,27690,35360,41410,36930,47870,56180,1,1,1,1,1,1
0,16,S,17,6602,6464,3840,20860,28880,37380,30620,43370,54210,45090,61230,76070,1,1,1,1,1,1
0,16,S,18,5061,4033,2393,21990,27890,32680,31370,39890,46500,42870,54680,64630,1,1,1,1,1,1
0,16,S,19,2241,1900,1117,21500,26870,32620,30520,39550,46040,41740,52910,60950,1,1,1,1,1,1
0,16,S,20,5394,3693,1979,23230,30610,35210,32950,42430,48290,44970,56700,65720,1,1,1,1,1,1
0,16,S,21,7736,6139,3462,25570,33600,36660,36790,46390,50940,50930,61080,66800,1,1,1,1,1,1
0,16,S,22,4932,3945,2312,22370,29570,34900,32990,44050,50080,47200,61290,71380,1,1,1,1,1,1
0,16,S,23,1155,1003,616,19840,24500,30620,27220,34980,41710,36180,45900,57410,1,1,1,1,1,1
0,16,S,24,8160,6708,4033,31760,42610,49070,50700,64730,73060,78580,94100,101400,1,1,1,1,1,1
0,16,S,25,912.5,1317,1404,22830,33610,40220,33360,49830,59780,51030,70530,85420,1,1,1,1,1,1
0,16,S,26,5346,4547,2845,20670,27340,33490,29780,41260,48410,42720,58200,71090,1,1,1,1,1,1
0,16,S,27,2515,2287,1283,21380,28280,35490,30990,40810,49550,42480,55950,66590,1,1,1,1,1,1
0,16,S,28,1431,1600,958,21270,26570,29190,31240,37940,42240,44500,52730,59030,1,1,1,1,1,1
0,16,S,29,6728,5357,3032,22040,28250,32340,31270,39900,46110,44330,56270,64340,1,1,1,1,1,1
0,16,S,30,1016,909,560.5,19080,24830,29310,26210,35870,41650,36090,52100,61490,1,1,1,1,1,1
0,16,S,31,1865,1358,744,21610,27440,30590,30010,38390,43590,39980,51750,57910,1,1,1,1,1,1
0,16,S,32,3040,2527,1440,22880,30580,33820,32620,43450,50950,47800,65160,73980,1,1,1,1,1,1
0,16,S,33,786.5,795,457.5,21930,29190,37450,31140,42550,51100,41300,57510,67160,1,1,1,1,1,1
0,16,S,34,3271,2994,1781,22640,33170,38840,34620,50080,58830,52250,69400,84690,1,1,1,1,1,1
0,16,S,35,2257,1931,1198,22360,29830,37270,33740,43870,53110,49390,63100,73480,1,1,1,1,1,1
0,16,S,36,8855,8674,5419,21270,29920,37780,31160,44790,54650,45310,63870,81850,1,1,1,1,1,1
0,16,S,37,14540,11630,6749,24340,31540,35130,36250,44520,48410,52640,62370,67990,1,1,1,1,1,1
0,16,S,38,906.5,766,507.5,23160,30520,41120,37370,47360,57150,60980,73750,88250,1,1,1,1,1,1
0,16,S,39,7765,6627,3951,20690,26810,32850,29350,38650,46200,40700,52940,63870,1,1,1,1,1,1
0,16,S,40,6412,4991,2866,22180,28290,33780,31230,40420,46910,44590,55800,64160,1,1,1,1,1,1
0,16,S,41,2745,2521,1565,20740,27070,32090,29850,39750,47980,41980,55680,67260,1,1,1,1,1,1
0,16,S,42,7188,7339,4737,21850,29240,35480,31770,42970,51170,44900,57770,68780,1,1,1,1,1,1
0,16,S,44,426,344,203,19960,27800,35780,28020,39070,48820,41610,52530,67260,1,1,1,1,1,1
0,16,S,45,6029,5043,3042,23280,29030,32620,32700,40980,44660,44710,55810,61020,1,1,1,1,1,1
0,16,S,46,675,596.5,347,19730,25550,27940,27140,35050,40110,36130,45320,53310,1,1,1,1,1,1
0,16,S,47,8569,6378,3598,22120,28740,32840,31680,40950,46750,43870,56440,63280,1,1,1,1,1,1
0,16,S,48,46730,36390,20900,24210,33080,38790,35950,47350,55020,52310,66560,77390,1,1,1,1,1,1
0,16,S,49,1810,1414,804.5,22000,28510,34000,30780,42090,50370,43770,59620,70420,1,1,1,1,1,1
