cohort,cohort_years,dod_occ_code_level,dod_occ_code,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A,000,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,3,101,49810,41390,23990,61310,29860,13790,21740,29700,35850,31470,43200,51550,45300,61720,74450,1,1,1,1,1,1,1,1,1
0,16,3,102,9000,7985,4879,8436,5068,2851,22100,29270,33850,31940,42290,48420,45090,58220,67940,1,1,1,1,1,1,1,1,1
0,16,3,103,9126,7456,4438,10740,4982,2377,21270,28890,35450,30480,41610,50530,42740,57500,70850,1,1,1,1,1,1,1,1,1
0,16,3,104,18580,16090,10190,19970,10600,5863,21530,28480,33620,30970,41170,48450,43950,57580,68200,1,1,1,1,1,1,1,1,1
0,16,3,106,350,330,224,421,232,115,22900,26350,32580,32460,41460,46940,46720,55460,63890,1,1,1,1,1,1,1,1,1
0,16,3,108,715,487,129,601,215,57,30180,37930,54180,65390,71010,85920,102300,103400,121200,1,1,1,1,1,1,1,1,1
0,16,3,110,16890,14490,8739,15750,7456,3860,26020,34550,40020,41100,52390,59480,65110,77100,85540,1,1,1,1,1,1,1,1,1
0,16,3,111,424,459,335,539,279,173,22480,29100,36310,31750,41970,51020,42630,58890,68520,1,1,1,1,1,1,1,1,1
0,16,3,112,986,870,533,891,485,249,25810,33000,39090,39000,48760,56740,60060,73540,83250,1,1,1,1,1,1,1,1,1
0,16,3,115,80,90,108,,,,33140,38380,45370,54760,70860,69870,79710,99760,104100,1,1,1,5,5,5,1,1,1
0,16,3,116,118,158,154,104,74,71,20170,27510,40500,28950,38870,58060,47710,55530,76340,1,1,1,1,1,1,1,1,1
0,16,3,119,836,619,60,1042,352,,24410,32680,41460,38950,49770,59890,59280,70920,81020,1,1,1,1,1,5,1,1,1
0,16,3,120,988,893,592,1024,552,295,21800,31630,36580,32850,44910,53870,49420,64670,75860,1,1,1,1,1,1,1,1,1
0,16,3,122,1408,1232,668,1210,632,317,24750,36840,43300,39710,59930,65360,62130,80830,91410,1,1,1,1,1,1,1,1,1
0,16,3,123,6025,5368,3194,5250,3136,1664,32810,41270,47100,60580,69170,74900,87470,99860,107500,1,1,1,1,1,1,1,1,1
0,16,3,124,9114,6823,3645,8842,3994,1809,31470,40830,45460,57200,67300,71480,87060,96100,102000,1,1,1,1,1,1,1,1,1
0,16,3,125,14380,11620,6267,18320,8367,3562,20850,27940,34540,29690,40620,49710,41910,56370,69780,1,1,1,1,1,1,1,1,1
0,16,3,126,5649,5477,3570,4128,2578,1485,28700,37470,42680,45570,56980,64540,69230,81620,90300,1,1,1,1,1,1,1,1,1
0,16,3,127,218,244,125,124,111,66,29360,43050,46190,53730,67900,72380,78030,94330,95550,1,1,1,1,1,1,1,1,1
0,16,3,130,7680,5063,660,12900,3879,237,23730,32650,46400,34960,45720,64000,49480,62620,82430,1,1,1,1,1,1,1,1,1
0,16,3,131,1554,1114,307,1393,553,119,32410,36550,42040,43750,48580,55430,59240,69270,81940,1,1,1,1,1,1,1,1,1
0,16,3,132,1654,1355,680,1867,840,340,26430,33750,37200,39860,49200,53890,56350,65860,76710,1,1,1,1,1,1,1,1,1
0,16,3,133,345,249,249,649,193,,23650,33170,33170,33670,41100,41100,42740,55350,55350,1,1,1,1,1,5,1,1,1
0,16,3,134,969,846,390,1260,517,191,24340,31180,38190,35410,44680,53130,48450,62530,74150,1,1,1,1,1,1,1,1,1
0,16,3,140,581,521,301,663,274,140,29350,36460,41310,46650,57870,65050,70040,80200,94200,1,1,1,1,1,1,1,1,1
0,16,3,141,1343,1138,682,1524,755,394,24340,30780,34820,37190,45890,51830,56620,69570,78270,1,1,1,1,1,1,1,1,1
0,16,3,142,113,159,100,185,130,59,19930,24190,35290,28610,37530,46470,43210,54550,68230,1,1,1,1,1,1,1,1,1
0,16,3,143,1030,763,387,763,292,124,36540,49360,58950,57720,70750,81830,83450,94600,104100,1,1,1,1,1,1,1,1,1
0,16,3,145,760,774,464,1218,672,355,22900,33170,40180,34510,45490,55570,47710,61570,77200,1,1,1,1,1,1,1,1,1
0,16,3,149,2139,2312,1988,2089,1325,1098,22940,29530,36220,34240,44580,52280,47510,61400,75200,1,1,1,1,1,1,1,1,1
0,16,3,150,5591,5017,3694,3664,2541,2048,29580,36220,39700,41600,49850,55650,56450,68130,77830,1,1,1,1,1,1,1,1,1
0,16,3,151,4524,4790,3794,4161,3097,2235,24160,32880,37720,35270,46110,53120,49670,64530,76440,1,1,1,1,1,1,1,1,1
0,16,3,152,6606,5384,2135,7793,3358,1168,27520,38340,43290,40730,54250,63190,63200,78570,87930,1,1,1,1,1,1,1,1,1
0,16,3,153,7581,5412,2301,8196,3402,1015,27690,34840,40910,44450,56070,66560,68820,82820,96300,1,1,1,1,1,1,1,1,1
