cohort,cohort_years,paygrade_level,paygrade,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,X,E1-E9,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,E,E1,11810,9921,6246,17410,10500,6163,18440,21260,25010,25130,30630,37080,34960,43900,52720,1,1,1,1,1,1,1,1,1
0,16,E,E2,6056,5462,3947,9079,5719,3529,18010,21550,25030,24530,30950,36490,34270,43390,51540,1,1,1,1,1,1,1,1,1
0,16,E,E3,12160,11020,7568,19130,10120,5743,18480,22910,27450,25460,33180,40120,35270,46270,56540,1,1,1,1,1,1,1,1,1
0,16,E,E4,123100,105300,67890,161900,74620,36740,20640,27460,33710,29250,39480,47940,40640,54700,67270,1,1,1,1,1,1,1,1,1
0,16,E,E5,73890,64270,34460,78890,37660,15940,24910,34910,42390,36510,49060,59600,52130,68300,83060,1,1,1,1,1,1,1,1,1
0,16,E,E6,30400,23300,12350,26450,12970,6332,30190,39540,43950,43120,54520,61440,62240,76970,86820,1,1,1,1,1,1,1,1,1
0,16,E,E7-E9,54810,43670,22460,30140,17300,9629,36950,46030,48400,52340,63570,67910,72730,85280,91170,1,1,1,1,1,1,1,1,1
2000,2,X,E1-E9,51230,57090,54930,33180,27080,28730,23930,30710,37320,34320,44390,53580,47700,62210,76290,1,1,1,1,1,1,1,1,1
2002,2,X,E1-E9,36400,45460,44720,33570,24320,24750,21810,29240,34820,31780,42870,50510,45310,60280,72830,1,1,1,1,1,1,1,1,1
2004,2,X,E1-E9,50460,50890,55350,36210,35380,30620,22770,33280,36970,34490,48040,53520,51100,68930,76710,1,1,1,1,1,1,1,1,1
2006,2,X,E1-E9,44730,44830,,32370,31990,,24230,33050,,36260,48120,,53400,69770,,1,1,-1,1,1,-1,1,1,-1
2008,2,X,E1-E9,29470,41600,,44150,31810,,26900,30570,,41380,44960,,63320,66120,,1,1,-1,1,1,-1,1,1,-1
2010,2,X,E1-E9,30500,23060,,57710,18280,,24070,29510,,37060,43270,,60530,62630,,1,1,-1,1,1,-1,1,1,-1
2012,2,X,E1-E9,44940,,,72890,,,22070,,,32250,,,47610,,,1,-1,-1,1,-1,-1,1,-1,-1
2014,2,X,E1-E9,24550,,,32780,,,22590,,,32950,,,46870,,,1,-1,-1,1,-1,-1,1,-1,-1
