cohort,cohort_years,race,ethnicity,y1_emp,y5_emp,y10_emp,y1_nonemp,y5_nonemp,y10_nonemp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp,status_y1_earn,status_y5_earn,status_y10_earn
0,16,A0,A0,312300,262900,155000,342900,168900,84120,23330,31130,36480,34630,45420,52620,51030,65130,75520,1,1,1,1,1,1,1,1,1
0,16,A0,A2,40950,35380,20580,49590,23940,11520,23010,31520,37830,33970,45540,53780,49320,64500,76510,1,1,1,1,1,1,1,1,1
0,16,A0,A1,271400,227400,134400,293400,144900,72590,23380,31070,36250,34740,45400,52440,51300,65220,75350,1,1,1,1,1,1,1,1,1
0,16,A1,A0,226300,186000,107000,237900,113900,53920,23180,31180,37220,34300,45570,53710,50480,65210,76750,1,1,1,1,1,1,1,1,1
0,16,A1,A2,33980,29300,17000,39250,18590,8771,22950,31540,38130,33800,45470,54020,48950,64390,76660,1,1,1,1,1,1,1,1,1
0,16,A1,A1,192300,156700,90020,198700,95360,45150,23220,31120,37040,34390,45590,53650,50760,65380,76760,1,1,1,1,1,1,1,1,1
0,16,A2,A0,66870,59930,37990,76120,40970,23750,24130,31190,34480,35910,45110,49510,52800,64890,71390,1,1,1,1,1,1,1,1,1
0,16,A2,A2,3333,2997,1773,5609,3061,1602,24060,33300,36970,35990,47280,53130,52140,66450,77260,1,1,1,1,1,1,1,1,1
0,16,A2,A1,63540,56930,36210,70520,37910,22150,24130,31100,34380,35910,44990,49340,52840,64800,71110,1,1,1,1,1,1,1,1,1
0,16,A3,A0,3665,3055,1792,5120,2609,1243,21190,26920,33020,31220,39720,47640,45310,56800,67640,1,1,1,1,1,1,1,1,1
0,16,A3,A2,1195,1038,593,1596,774,387,22450,28140,35880,32280,41050,50870,47760,59920,72130,1,1,1,1,1,1,1,1,1
0,16,A3,A1,2470,2017,1199,3524,1835,856,20740,26250,31350,30690,39070,46140,44190,55550,65150,1,1,1,1,1,1,1,1,1
